Name	Hash	Type	Parameters	Observed value	Observed on
AIRLINER_ELEC_APU_GEN	3205083420795941787	DOUBLE	;FLOAT64	0	2026-06-19
AIRLINER_APU_MASTER	4080745756015573070	DOUBLE	;FLOAT64	0	2026-06-19
AIRLINER_APU_START	9344724743939237602	DOUBLE	;FLOAT64	0	2026-06-19
AIRLINER_APU_BLEED	3010931937409781580	DOUBLE	;FLOAT64	0	2026-06-19
AIRLINER_ADIRS_1	5157929863266406690	DOUBLE	;FLOAT64	0	2026-06-19
AIRLINER_ADIRS_2	9260957592121887383	DOUBLE	;FLOAT64	0	2026-06-19
AIRLINER_ADIRS_3	14012218200692620292	DOUBLE	;FLOAT64	0	2026-06-19
AIRLINER_LT_SIGN_SEATBELTS	12887035727064807174	DOUBLE	;FLOAT64	2	2026-06-19
AIRLINER_FUEL_ENG1_L1	17160241956476466648	DOUBLE	;FLOAT64	0	2026-06-19
AIRLINER_FUEL_ENG1_L2	2969085048935345773	DOUBLE	;FLOAT64	0	2026-06-19
AIRLINER_FUEL_ENG2_R1	3693509800080360825	DOUBLE	;FLOAT64	0	2026-06-19
AIRLINER_FUEL_ENG2_R2	17604810245581348556	DOUBLE	;FLOAT64	0	2026-06-19
