"Category","Preset","CalculatorCode","Interfaces","WriteTargets","ReadTargets","RelevantPhase","Source","Evidence","LiveVerified"
"Autopilot","INI320_FCU_ALTITUDE_DIAL_DN","1 (>L:INI_ALTITUDE_DIAL_DN_COMMAND)","LVar","L:INI_ALTITUDE_DIAL_DN_COMMAND","","Cockpit Preparation / Flight","MobiFlight HubHop export supplied in docs/events.txt","Documented preset","No"
"Autopilot","INI320_FCU_ALTITUDE_DIAL_UP","1 (>L:INI_ALTITUDE_DIAL_UP_COMMAND)","LVar","L:INI_ALTITUDE_DIAL_UP_COMMAND","","Cockpit Preparation / Flight","MobiFlight HubHop export supplied in docs/events.txt","Documented preset","No"
"Autopilot","INI320_FCU_ALTITUDE_PULL","1 (>L:INI_FCU_ALTITUDE_PULL_COMMAND)","LVar","L:INI_FCU_ALTITUDE_PULL_COMMAND","","Cockpit Preparation / Flight","MobiFlight HubHop export supplied in docs/events.txt","Documented preset","No"
"Autopilot","INI320_FCU_ALTITUDE_PUSH","1 (>L:INI_FCU_ALTITUDE_PUSH_COMMAND)","LVar","L:INI_FCU_ALTITUDE_PUSH_COMMAND","","Cockpit Preparation / Flight","MobiFlight HubHop export supplied in docs/events.txt","Documented preset","No"
"Autopilot","INI320_FCU_ALTITUDE_SCALE_TOGGLE","(L:INI_ALTITUDE_STATE) ! (>L:INI_FCU_ALTITUDE_MODE_COMMAND)","LVar","L:INI_FCU_ALTITUDE_MODE_COMMAND","L:INI_ALTITUDE_STATE","Cockpit Preparation / Flight","MobiFlight HubHop export supplied in docs/events.txt","Documented preset","No"
"Autopilot","INI320_FCU_AP1_PUSH","1 (>L:INI_AP1_BUTTON)","LVar","L:INI_AP1_BUTTON","","Cockpit Preparation / Flight","MobiFlight HubHop export supplied in docs/events.txt","Documented preset","No"
"Autopilot","INI320_FCU_AP2_PUSH","1 (>L:INI_AP2_BUTTON)","LVar","L:INI_AP2_BUTTON","","Cockpit Preparation / Flight","MobiFlight HubHop export supplied in docs/events.txt","Documented preset","No"
"Autopilot","INI320_FCU_APPR_PUSH","1 (>L:AP7_BUTTON)","LVar","L:AP7_BUTTON","","Cockpit Preparation / Flight","MobiFlight HubHop export supplied in docs/events.txt","Documented preset","No"
"Autopilot","INI320_FCU_ATHR_PUSH","1 (>L:AP8_BUTTON)","LVar","L:AP8_BUTTON","","Cockpit Preparation / Flight","MobiFlight HubHop export supplied in docs/events.txt","Documented preset","No"
"Autopilot","INI320_FCU_EXPED_PUSH","1 (>L:A320_FCU_EXPEDITE_COMMAND)","LVar","L:A320_FCU_EXPEDITE_COMMAND","","Cockpit Preparation / Flight","MobiFlight HubHop export supplied in docs/events.txt","Documented preset","No"
"Autopilot","INI320_FCU_HEADING_DIAL_DN","1 (>L:INI_HEADING_DIAL_DN_COMMAND)","LVar","L:INI_HEADING_DIAL_DN_COMMAND","","Cockpit Preparation / Flight","MobiFlight HubHop export supplied in docs/events.txt","Documented preset","No"
"Autopilot","INI320_FCU_HEADING_DIAL_UP","1 (>L:INI_HEADING_DIAL_UP_COMMAND)","LVar","L:INI_HEADING_DIAL_UP_COMMAND","","Cockpit Preparation / Flight","MobiFlight HubHop export supplied in docs/events.txt","Documented preset","No"
"Autopilot","INI320_FCU_HEADING_PULL","1 (>L:INI_FCU_SELECTED_HEADING_BUTTON)","LVar","L:INI_FCU_SELECTED_HEADING_BUTTON","","Cockpit Preparation / Flight","MobiFlight HubHop export supplied in docs/events.txt","Documented preset","No"
"Autopilot","INI320_FCU_HEADING_PUSH","1 (>L:INI_FCU_MANAGED_HEADING_BUTTON)","LVar","L:INI_FCU_MANAGED_HEADING_BUTTON","","Cockpit Preparation / Flight","MobiFlight HubHop export supplied in docs/events.txt","Documented preset","No"
"Autopilot","INI320_FCU_LOC_PUSH","1 (>L:AP6_BUTTON)","LVar","L:AP6_BUTTON","","Cockpit Preparation / Flight","MobiFlight HubHop export supplied in docs/events.txt","Documented preset","No"
"Autopilot","INI320_FCU_METRIC_ALT_PUSH","(L:INI_FCU_METRIC_STATE) ! (>L:INI_FCU_METRIC_STATE)","LVar","L:INI_FCU_METRIC_STATE","L:INI_FCU_METRIC_STATE","Cockpit Preparation / Flight","MobiFlight HubHop export supplied in docs/events.txt","Documented preset","No"
"Autopilot","INI320_FCU_SPD_MACH_PUSH","1 (>L:INI_SPD_MACH_BUTTON)","LVar","L:INI_SPD_MACH_BUTTON","","Cockpit Preparation / Flight","MobiFlight HubHop export supplied in docs/events.txt","Documented preset","No"
"Autopilot","INI320_FCU_SPEED_DIAL_DN","1 (>L:INI_AIRSPEED_DIAL_DN_COMMAND)","LVar","L:INI_AIRSPEED_DIAL_DN_COMMAND","","Cockpit Preparation / Flight","MobiFlight HubHop export supplied in docs/events.txt","Documented preset","No"
"Autopilot","INI320_FCU_SPEED_DIAL_UP","1 (>L:INI_AIRSPEED_DIAL_UP_COMMAND)","LVar","L:INI_AIRSPEED_DIAL_UP_COMMAND","","Cockpit Preparation / Flight","MobiFlight HubHop export supplied in docs/events.txt","Documented preset","No"
"Autopilot","INI320_FCU_SPEED_PULL","1 (>L:INI_FCU_SELECTED_SPEED_BUTTON)","LVar","L:INI_FCU_SELECTED_SPEED_BUTTON","","Cockpit Preparation / Flight","MobiFlight HubHop export supplied in docs/events.txt","Documented preset","No"
"Autopilot","INI320_FCU_SPEED_PUSH","1 (>L:INI_FCU_MANAGED_SPEED_BUTTON)","LVar","L:INI_FCU_MANAGED_SPEED_BUTTON","","Cockpit Preparation / Flight","MobiFlight HubHop export supplied in docs/events.txt","Documented preset","No"
"Autopilot","INI320_FCU_TRK_FPA_PUSH","1 (>L:INI_FCU_HDG_VS_COMMAND)","LVar","L:INI_FCU_HDG_VS_COMMAND","","Cockpit Preparation / Flight","MobiFlight HubHop export supplied in docs/events.txt","Documented preset","No"
"Autopilot","INI320_FCU_VS_DIAL_DN","1 (>L:INI_VVI_DIAL_DN_COMMAND)","LVar","L:INI_VVI_DIAL_DN_COMMAND","","Cockpit Preparation / Flight","MobiFlight HubHop export supplied in docs/events.txt","Documented preset","No"
"Autopilot","INI320_FCU_VS_DIAL_UP","1 (>L:INI_VVI_DIAL_UP_COMMAND)","LVar","L:INI_VVI_DIAL_UP_COMMAND","","Cockpit Preparation / Flight","MobiFlight HubHop export supplied in docs/events.txt","Documented preset","No"
"Autopilot","INI320_FCU_VS_PULL","1 (>L:AP9_BUTTON)","LVar","L:AP9_BUTTON","","Cockpit Preparation / Flight","MobiFlight HubHop export supplied in docs/events.txt","Documented preset","No"
"Autopilot","INI320_FCU_VS_PUSH","1 (>L:INI_FCU_PUSH_COMMAND)","LVar","L:INI_FCU_PUSH_COMMAND","","Cockpit Preparation / Flight","MobiFlight HubHop export supplied in docs/events.txt","Documented preset","No"
"Autopilot","INI320_SIDESTICK_AP_DISCONNECT_PUSH","(>K:AUTOPILOT_OFF)","KEvent","K:AUTOPILOT_OFF","","Cockpit Preparation / Flight","MobiFlight HubHop export supplied in docs/events.txt","Documented preset","No"
"BRAKES","INI320_BRAKES_AUTOBRAKES_DECREASE","(L:INI_AUTOBRAKE_LEVEL) -- 0 max 3 min (>L:INI_AUTOBRAKE_LEVEL)","LVar","L:INI_AUTOBRAKE_LEVEL","L:INI_AUTOBRAKE_LEVEL","Before Start / Taxi","MobiFlight HubHop export supplied in docs/events.txt","Documented preset","No"
"BRAKES","INI320_BRAKES_AUTOBRAKES_INCREASE","(L:INI_AUTOBRAKE_LEVEL) ++ 0 max 3 min (>L:INI_AUTOBRAKE_LEVEL)","LVar","L:INI_AUTOBRAKE_LEVEL","L:INI_AUTOBRAKE_LEVEL","Before Start / Taxi","MobiFlight HubHop export supplied in docs/events.txt","Documented preset","No"
"BRAKES","INI320_BRAKES_AUTOBRAKES_LOW","1 (>L:INI_AUTOBRAKE_LEVEL)","LVar","L:INI_AUTOBRAKE_LEVEL","","Before Start / Taxi","MobiFlight HubHop export supplied in docs/events.txt","Documented preset","No"
"BRAKES","INI320_BRAKES_AUTOBRAKES_MAX","3 (>L:INI_AUTOBRAKE_LEVEL)","LVar","L:INI_AUTOBRAKE_LEVEL","","Before Start / Taxi","MobiFlight HubHop export supplied in docs/events.txt","Documented preset","No"
"BRAKES","INI320_BRAKES_AUTOBRAKES_MED","2 (>L:INI_AUTOBRAKE_LEVEL)","LVar","L:INI_AUTOBRAKE_LEVEL","","Before Start / Taxi","MobiFlight HubHop export supplied in docs/events.txt","Documented preset","No"
"BRAKES","INI320_BRAKES_AUTOBRAKES_OFF","0 (>L:INI_AUTOBRAKE_LEVEL)","LVar","L:INI_AUTOBRAKE_LEVEL","","Before Start / Taxi","MobiFlight HubHop export supplied in docs/events.txt","Documented preset","No"
